sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Divvy","5057",,2019-07-31 15:31:23 -0600,2019-07-31 12:20:59 -0600,2019-07-31 12:33:04 -0600,"HKWorkoutActivityTypeCycling",12.08891666730245,"min",,,,
"Divvy","5057",,2019-07-31 15:47:17 -0600,2019-07-31 15:31:39 -0600,2019-07-31 15:43:32 -0600,"HKWorkoutActivityTypeCycling",11.88945000171661,"min",,,,
"Divvy","5057",,2019-08-01 08:12:01 -0600,2019-07-31 17:06:41 -0600,2019-07-31 17:33:03 -0600,"HKWorkoutActivityTypeCycling",26.37321666479111,"min",,,,
"Divvy","5057",,2019-08-01 14:36:12 -0600,2019-08-01 08:12:29 -0600,2019-08-01 08:38:21 -0600,"HKWorkoutActivityTypeCycling",25.88191667000453,"min",,,,
"Divvy","5057",,2019-08-01 15:35:40 -0600,2019-08-01 14:40:58 -0600,2019-08-01 15:04:58 -0600,"HKWorkoutActivityTypeCycling",23.98996666669846,"min",,,,
"Divvy","5057",,2019-08-02 09:25:21 -0600,2019-08-02 09:03:07 -0600,2019-08-02 09:25:04 -0600,"HKWorkoutActivityTypeCycling",21.95975000063578,"min",,,,
"Divvy","5057",,2019-08-02 11:53:24 -0600,2019-08-02 11:29:37 -0600,2019-08-02 11:39:20 -0600,"HKWorkoutActivityTypeCycling",9.714366666475932,"min",,,,
"Divvy","5057",,2019-08-03 11:26:19 -0600,2019-08-03 09:25:37 -0600,2019-08-03 09:45:20 -0600,"HKWorkoutActivityTypeCycling",19.71226666768392,"min",,,,
"Divvy","5057",,2019-08-03 12:02:03 -0600,2019-08-03 11:29:07 -0600,2019-08-03 11:43:50 -0600,"HKWorkoutActivityTypeCycling",14.72441666523616,"min",,,,
"Divvy","5057",,2019-08-04 09:36:04 -0600,2019-08-03 12:32:36 -0600,2019-08-03 12:47:12 -0600,"HKWorkoutActivityTypeCycling",14.60205000241598,"min",,,,
"Divvy","5057",,2019-08-04 10:00:56 -0600,2019-08-04 09:36:28 -0600,2019-08-04 09:51:53 -0600,"HKWorkoutActivityTypeCycling",15.40719999869665,"min",,,,
"Divvy","5057",,2019-08-04 13:18:04 -0600,2019-08-04 12:56:59 -0600,2019-08-04 13:14:00 -0600,"HKWorkoutActivityTypeCycling",17.01445000171661,"min",,,,
"Divvy","5057",,2019-08-04 15:11:05 -0600,2019-08-04 14:12:47 -0600,2019-08-04 14:28:36 -0600,"HKWorkoutActivityTypeCycling",15.81046666701635,"min",,,,
"Divvy","5057",,2019-08-05 08:48:31 -0600,2019-08-05 08:20:07 -0600,2019-08-05 08:46:30 -0600,"HKWorkoutActivityTypeCycling",26.38561666409175,"min",,,,
"Divvy","5057",,2019-08-05 10:53:50 -0600,2019-08-05 10:29:09 -0600,2019-08-05 10:53:33 -0600,"HKWorkoutActivityTypeCycling",24.38934999704361,"min",,,,
"Divvy","5057",,2019-08-06 08:16:46 -0600,2019-08-05 15:12:13 -0600,2019-08-05 15:31:41 -0600,"HKWorkoutActivityTypeCycling",19.46521666844686,"min",,,,
"Divvy","5057",,2019-08-06 09:12:55 -0600,2019-08-06 08:17:09 -0600,2019-08-06 08:39:49 -0600,"HKWorkoutActivityTypeCycling",22.67206666866938,"min",,,,
"Divvy","5057",,2019-08-06 09:47:48 -0600,2019-08-06 09:13:10 -0600,2019-08-06 09:21:44 -0600,"HKWorkoutActivityTypeCycling",8.577716664473217,"min",,,,
"Divvy","5057",,2019-08-06 14:44:03 -0600,2019-08-06 09:48:04 -0600,2019-08-06 09:57:33 -0600,"HKWorkoutActivityTypeCycling",9.481116664409637,"min",,,,
"Divvy","5057",,2019-08-07 07:55:22 -0600,2019-08-06 14:44:31 -0600,2019-08-06 15:17:33 -0600,"HKWorkoutActivityTypeCycling",33.03848333358765,"min",,,,
"Divvy","5057",,2019-08-07 08:22:07 -0600,2019-08-07 07:55:53 -0600,2019-08-07 08:21:42 -0600,"HKWorkoutActivityTypeCycling",25.81519999901453,"min",,,,
"Divvy","5057",,2019-08-08 16:01:29 -0600,2019-08-08 07:49:43 -0600,2019-08-08 08:13:36 -0600,"HKWorkoutActivityTypeCycling",23.87963333129883,"min",,,,
"Divvy","5057",,2019-08-08 20:30:16 -0600,2019-08-08 16:01:53 -0600,2019-08-08 16:23:25 -0600,"HKWorkoutActivityTypeCycling",21.52669999996821,"min",,,,
